Gene Name,Gene ID
StUBC1,PGSC0003DMG400016382
StUBC2,PGSC0003DMG400009018
StUBC3,PGSC0003DMG400000177
StUBC4,PGSC0003DMG400000090
StUBC5,PGSC0003DMG400006168
StUBC6,PGSC0003DMG401006935
StUBC7,PGSC0003DMG400029724
StUBC8,PGSC0003DMG400003584
StUBC9,PGSC0003DMG400003613
StUBC10,PGSC0003DMG400012657
StUBC11,PGSC0003DMG400001314
StUBC12,PGSC0003DMG400022555
StUBC13,PGSC0003DMG400006481
StUBC14,PGSC0003DMG400009069
StUBC15,PGSC0003DMG400018161
StUBC16,PGSC0003DMG402018159
StUBC17,PGSC0003DMG400018082
StUBC18,PGSC0003DMG400009150
StUBC19,PGSC0003DMG401029471
StUBC20,PGSC0003DMG400027733
StUBC21,PGSC0003DMG400007950
StUBC22,PGSC0003DMG400027848
StUBC23,PGSC0003DMG400003753
StUBC24,PGSC0003DMG400033877
StUBC25,PGSC0003DMG402023527
StUBC26,PGSC0003DMG401023527
StUBC27,PGSC0003DMG400020569
StUBC28,PGSC0003DMG400020568
StUBC29,PGSC0003DMG401004867
StUBC30,PGSC0003DMG400033039
StUBC31,PGSC0003DMG400027041
StUBC32,PGSC0003DMG400030473
StUBC33,PGSC0003DMG400022096
StUBC34,PGSC0003DMG400039325
StUBC35,PGSC0003DMG400018305
StUBC36,PGSC0003DMG400012390
StUBC37,PGSC0003DMG402022253
StUBC38,PGSC0003DMG400005784
StUBC39,PGSC0003DMG400012198
StUBC40,PGSC0003DMG400012306
StUBC41,PGSC0003DMG400008958
StUBC42,PGSC0003DMG400025037
StUBC43,PGSC0003DMG400021267
StUBC44,PGSC0003DMG400019398
StUBC45,PGSC0003DMG400019395
StUBC46,PGSC0003DMG400028241
StUBC47,PGSC0003DMG400028110
StUBC48,PGSC0003DMG400031240
StUBC49,PGSC0003DMG402018585
StUBC50,PGSC0003DMG400003003
StUBC51,PGSC0003DMG400015361
StUBC52,PGSC0003DMG400004986
StUBC53,PGSC0003DMG400015405
StUBC54,PGSC0003DMG400015423
StUBC55,PGSC0003DMG400004694
StUBC56,PGSC0003DMG400004699
StUBC57,PGSC0003DMG400009844
StPUB1,PGSC0003DMG400022775
StPUB2,PGSC0003DMG400032151
StPUB3,PGSC0003DMG400021360
StPUB4,PGSC0003DMG400021359
StPUB5,PGSC0003DMG400021358
StPUB6,PGSC0003DMG400021327
StPUB7,PGSC0003DMG400021326
StPUB8,PGSC0003DMG400021324
StPUB9,PGSC0003DMG400014732
StPUB10,PGSC0003DMG400014733
StPUB11,PGSC0003DMG400001821
StPUB12,PGSC0003DMG400000043
StPUB13,PGSC0003DMG400000241
StPUB14,PGSC0003DMG400025884
StPUB15,PGSC0003DMG400028462
StPUB16,PGSC0003DMG400013880
StPUB17,PGSC0003DMG400003511
StPUB18,PGSC0003DMG400021445
StPUB19,PGSC0003DMG400001440
StPUB20,PGSC0003DMG400000531
StPUB21,PGSC0003DMG400017783
StPUB22,PGSC0003DMG400018850
StPUB23,PGSC0003DMG400015790
StPUB24,PGSC0003DMG400010163
StPUB25,PGSC0003DMG400018516
StPUB26,PGSC0003DMG400024471
StPUB27,PGSC0003DMG400024491
StPUB28,PGSC0003DMG400005987
StPUB29,PGSC0003DMG400029464
StPUB30,PGSC0003DMG400004510
StPUB31,PGSC0003DMG400015113
StPUB32,PGSC0003DMG400025317
StPUB33,PGSC0003DMG400000791
StPUB34,PGSC0003DMG400004911
StPUB35,PGSC0003DMG400009904
StPUB36,PGSC0003DMG400009912
StPUB37,PGSC0003DMG400019649
StPUB38,PGSC0003DMG400030547
StPUB39,PGSC0003DMG400045432
StPUB40,PGSC0003DMG400017970
StPUB41,PGSC0003DMG400014914
StPUB42,PGSC0003DMG400027759
StPUB43,PGSC0003DMG400007217
StPUB44,PGSC0003DMG402011656
StPUB45,PGSC0003DMG400023445
StPUB46,PGSC0003DMG400030026
StPUB47,PGSC0003DMG400041678
StPUB48,PGSC0003DMG400005928
StPUB49,PGSC0003DMG400007132
StPUB50,PGSC0003DMG400030407
StPUB51,PGSC0003DMG400020175
StPUB52,PGSC0003DMG400005092
StPUB53,PGSC0003DMG400010710
StPUB54,PGSC0003DMG400006640
StPUB55,PGSC0003DMG400010317
StPUB56,PGSC0003DMG400006102
StPUB57,PGSC0003DMG400017196
StPUB58,PGSC0003DMG400029661
StPUB59,PGSC0003DMG400016129
StPUB60,PGSC0003DMG400007435
StPUB61,PGSC0003DMG400028687
StPUB62,PGSC0003DMG400025560
StPUB63,PGSC0003DMG400000396
StPUB64,PGSC0003DMG400019623
StPUB65,PGSC0003DMG400029409
StPUB66,PGSC0003DMG400029342
SUMO 1,PGSC0003DMP400040020
SUMO 2,PGSC0003DMP400038444
SUMO 3,PGSC0003DMP400001311
SUMO 4,PGSC0003DMP400024516
SUMO 5,PGSC0003DMP400054531
SUMO 6,PGSC0003DMP400052882
SUMO7,PGSC0003DMP400054530
StSCE1,PGSC0003DMT400020524
StSCE2,PGSC0003DMT400025497
StSCE3,PGSC0003DMT400039840
StSCE4,PGSC0003DMT400016581
StSCE5,PGSC0003DMT400046775
StSCE6,PGSC0003DMT400083067
StSCE7,PGSC0003DMT400046571
StSCE8,PGSC0003DMT400017858
StSCE9,PGSC0003DMT400046771
